"FOR 2008 Code","FOR 2008 Name"
"020504","Photonics, Optoelectronics and Optical Communications"
"020599","Optical Physics not elsewhere classified "
"020601","Degenerate Quantum Gases and Atom Optics"
"020602","Field Theory and String Theory"
"020603","Quantum Information, Computation and Communication"
"020604","Quantum Optics"
"020699","Quantum Physics not elsewhere classified"
"029901","Biological Physics"
"029902","Complex Physical Systems"
"029903","Medical Physics"
"029904","Synchrotrons; Accelerators; Instruments and Techniques"
"029999","Physical Sciences not elsewhere classified "
"030101","Analytical Spectrometry"
"030102","Electroanalytical Chemistry"
"030103","Flow Analysis"
"030104","Immunological and Bioassay Methods "
"030105","Instrumental Methods (excl. Immunological and Bioassay Methods)"
"030106","Quality Assurance, Chemometrics, Traceability and Metrological Chemistry"
"030107","Sensor Technology (Chemical aspects)"
"030108","Separation Science "
"030199","Analytical Chemistry not elsewhere classified"
"030201","Bioinorganic Chemistry "
"030202","f-Block Chemistry"
"030203","Inorganic Green Chemistry"
"030204","Main Group Metal Chemistry "
"030205","Non-metal Chemistry"
"030206","Solid State Chemistry"
"030207","Transition Metal Chemistry "
"030299","Inorganic Chemistry not elsewhere classified "
"030301","Chemical Characterisation of Materials"
"030302","Nanochemistry and Supramolecular Chemistry"
"030303","Optical Properties of Materials"
"030304","Physical Chemistry of Materials"
"030305","Polymerisation Mechanisms"
"030306","Synthesis of Materials"
"030307","Theory and Design of Materials"
"030399","Macromolecular and Materials Chemistry not elsewhere classified"
"030401","Biologically Active Molecules"
"030402","Biomolecular Modelling and Design"
"030403","Characterisation of Biological Macromolecules"
"030404","Cheminformatics and Quantitative Structure-Activity Relationships"
"030405","Molecular Medicine"
"030406","Proteins and Peptides"
"030499","Medicinal and Biomolecular Chemistry not elsewhere classified"
"030501","Free Radical Chemistry"
"030502","Natural Products Chemistry"
"030503","Organic Chemical Synthesis "
"030504","Organic Green Chemistry"
"030505","Physical Organic Chemistry "
"030599","Organic Chemistry not elsewhere classified "
"030601","Catalysis and Mechanisms of Reactions"
"030602","Chemical Thermodynamics and Energetics"
"030603","Colloid and Surface Chemistry"
"030604","Electrochemistry "
"030605","Solution Chemistry"
"030606","Structural Chemistry and Spectroscopy"
"030607","Transport Properties and Non-Equilibrium Processes"
"030699","Physical Chemistry not elsewhere classified"
"030701","Quantum Chemistry"
"030702","Radiation and Matter "
"030703","Reaction Kinetics and Dynamics "
"030704","Statistical Mechanics in Chemistry"
"030799","Theoretical and Computational Chemistry not elsewhere classified"
"039901","Environmental Chemistry (incl. Atmospheric Chemistry)"
"039902","Forensic Chemistry"
"039903","Industrial Chemistry "
"039904","Organometallic Chemistry "
"039999","Chemical Sciences not elsewhere classified"
"040101","Atmospheric Aerosols"
"040102","Atmospheric Dynamics"
"040103","Atmospheric Radiation"
"040104","Climate Change Processes"
"040105","Climatology (excl. Climate Change Processes)"
"040106","Cloud Physics"
"040107","Meteorology"
"040108","Tropospheric and Stratospheric Physics"
"040199","Atmospheric Sciences not elsewhere classified"
"040201","Exploration Geochemistry"
"040202","Inorganic Geochemistry"
"040203","Isotope Geochemistry"
"040204","Organic Geochemistry"
"040299","Geochemistry not elsewhere classified"
"040301","Basin Analysis"
"040302","Extraterrestrial Geology"
"040303","Geochronology"
"040304","Igneous and Metamorphic Petrology"
"040305","Marine Geoscience"
"040306","Mineralogy and Crystallography"
"040307","Ore Deposit Petrology"
"040308","Palaeontology (incl. Palynology)"
"040309","Petroleum and Coal Geology"
"040310","Sedimentology"
"040311","Stratigraphy (incl. Biostratigraphy and Sequence Stratigraphy)"
"040312","Structural Geology"
"040313","Tectonics"
"040314","Volcanology"
"040399","Geology not elsewhere classified"
"040401","Electrical and Electromagnetic Methods in Geophysics"
"040402","Geodynamics"
"040403","Geophysical Fluid Dynamics"
"040404","Geothermics and Radiometrics"
"040405","Gravimetrics"
"040406","Magnetism and Palaeomagnetism"
"040407","Seismology and Seismic Exploration"
"040499","Geophysics not elsewhere classified"
"040501","Biological Oceanography"
"040502","Chemical Oceanography"
"040503","Physical Oceanography"
"040599","Oceanography not elsewhere classified"
"040601","Geomorphology and Regolith and Landscape Evolution"
"040602","Glaciology"
"040603","Hydrogeology"
"040604","Natural Hazards"
"040605","Palaeoclimatology"
"040606","Quaternary Environments"
"040607","Surface Processes"
"040608","Surfacewater Hydrology"
"040699","Physical Geography and Environmental Geoscience not elsewhere classified"
"049999","Earth Sciences not elsewhere classified"
"050101","Ecological Impacts of Climate Change"
"050102","Ecosystem Function"
"050103","Invasive Species Ecology"
"050104","Landscape Ecology"
"050199","Ecological Applications not elsewhere classified"
"050201","Aboriginal and Torres Strait Islander Environmental Knowledge"
"050202","Conservation and Biodiversity "
"050203","Environmental Education and Extension"
"050204","Environmental Impact Assessment"
"050205","Environmental Management"
"050206","Environmental Monitoring"
"050207","Environmental Rehabilitation (excl. Bioremediation)"
"050208","Māori Environmental Knowledge"
"050209","Natural Resource Management"
"050210","Pacific Peoples Environmental Knowledge"
"050211","Wildlife and Habitat Management"
"050299","Environmental Science and Management not elsewhere classified"
"050301","Carbon Sequestration Science"
"050302","Land Capability and Soil Degradation"
"050303","Soil Biology "
"050304","Soil Chemistry (excl. Carbon Sequestration Science)"
"050305","Soil Physics "
"050399","Soil Sciences not elsewhere classified"
"059999","Environmental Sciences not elsewhere classified"
"060101","Analytical Biochemistry"
"060102","Bioinformatics"
"060103","Cell Development, Proliferation and Death"
"060104","Cell Metabolism"
"060105","Cell Neurochemistry"
"060106","Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)"
"060107","Enzymes"
"060108","Protein Trafficking"
"060109","Proteomics and Intermolecular Interactions (excl. Medical Proteomics)"
"060110","Receptors and Membrane Biology"
"060111","Signal Transduction"
"060112","Structural Biology (incl. Macromolecular Modelling)"
"060113","Synthetic Biology"
"060114","Systems Biology"
"060199","Biochemistry and Cell Biology not elsewhere classified "
"060201","Behavioural Ecology"
"060202","Community Ecology (excl. Invasive Species Ecology)"
"060203","Ecological Physiology"
"060204","Freshwater Ecology "
"060205","Marine and Estuarine Ecology (incl. Marine Ichthyology)"
"060206","Palaeoecology"
"060207","Population Ecology "
"060208","Terrestrial Ecology "
"060299","Ecology not elsewhere classified"
"060301","Animal Systematics and Taxonomy"
"060302","Biogeography and Phylogeography"
"060303","Biological Adaptation"
"060304","Ethology and Sociobiology"
"060305","Evolution of Developmental Systems"
"060306","Evolutionary Impacts of Climate Change"
"060307","Host-Parasite Interactions"
"060308","Life Histories"
"060309","Phylogeny and Comparative Analysis"
"060310","Plant Systematics and Taxonomy"
"060311","Speciation and Extinction"
"060399","Evolutionary Biology not elsewhere classified"
"060401","Anthropological Genetics "
"060402","Cell and Nuclear Division"
"060403","Developmental Genetics (incl. Sex Determination)"
"060404","Epigenetics (incl. Genome Methylation and Epigenomics)"
"060405","Gene Expression (incl. Microarray and other genome-wide approaches)"
"060406","Genetic Immunology "
"060407","Genome Structure and Regulation"
"060408","Genomics"
"060409","Molecular Evolution"
"060410","Neurogenetics"
"060411","Population, Ecological and Evolutionary Genetics"
"060412","Quantitative Genetics (incl. Disease and Trait Mapping Genetics)"
"060499","Genetics not elsewhere classified"
"060501","Bacteriology "
"060502","Infectious Agents"
"060503","Microbial Genetics "
"060504","Microbial Ecology"
"060505","Mycology "
"060506","Virology "
"060599","Microbiology not elsewhere classified"
"060601","Animal Physiology - Biophysics "
"060602","Animal Physiology - Cell "
"060603","Animal Physiology - Systems"
"060604","Comparative Physiology "
"060699","Physiology not elsewhere classified"
"060701","Phycology (incl. Marine Grasses)"
"060702","Plant Cell and Molecular Biology"
"060703","Plant Developmental and Reproductive Biology"
"060704","Plant Pathology"
"060705","Plant Physiology "
"060799","Plant Biology not elsewhere classified"
"060801","Animal Behaviour"
"060802","Animal Cell and Molecular Biology"
"060803","Animal Developmental and Reproductive Biology"
"060804","Animal Immunology"
"060805","Animal Neurobiology "
"060806","Animal Physiological Ecology"
"060807","Animal Structure and Function"
"060808","Invertebrate Biology "
"060809","Vertebrate Biology"
"060899","Zoology not elsewhere classified "
"069901","Forensic Biology"
"069902","Global Change Biology"
"069999","Biological Sciences not elsewhere classified "
"070101","Agricultural Land Management"
"070102","Agricultural Land Planning"
"070103","Agricultural Production Systems Simulation"
"070104","Agricultural Spatial Analysis and Modelling"
"070105","Agricultural Systems Analysis and Modelling"
"070106","Farm Management, Rural Management and Agribusiness"
"070107","Farming Systems Research"
"070108","Sustainable Agricultural Development"
"070199","Agriculture, Land and Farm Management not elsewhere classified"
"070201","Animal Breeding"
"070202","Animal Growth and Development"
"070203","Animal Management"
"070204","Animal Nutrition "
"070205","Animal Protection (Pests and Pathogens)"
"070206","Animal Reproduction"
"070207","Humane Animal Treatment"
"070299","Animal Production not elsewhere classified"
"070301","Agro-ecosystem Function and Prediction"
"070302","Agronomy "
"070303","Crop and Pasture Biochemistry and Physiology"
"070304","Crop and Pasture Biomass and Bioproducts"
"070305","Crop and Pasture Improvement (Selection and Breeding)"
"070306","Crop and Pasture Nutrition"
"070307","Crop and Pasture Post Harvest Technologies (incl. Transportation and Storage)"
"070308","Crop and Pasture Protection (Pests, Diseases and Weeds)"
"070399","Crop and Pasture Production not elsewhere classified"
"070401","Aquaculture"
"070402","Aquatic Ecosystem Studies and Stock Assessment"
"070403","Fisheries Management"
"070404","Fish Pests and Diseases"
"070405","Fish Physiology and Genetics"
"070406","Post-Harvest Fisheries Technologies (incl. Transportation)"
"070499","Fisheries Sciences not elsewhere classified"
"070501","Agroforestry "
"070502","Forestry Biomass and Bioproducts"
"070503","Forestry Fire Management"
"070504","Forestry Management and Environment"
"070505","Forestry Pests, Health and Diseases"
"070506","Forestry Product Quality Assessment"
"070507","Tree Improvement (Selection and Breeding) "
"070508","Tree Nutrition and Physiology"
"070509","Wood Fibre Processing"
"070510","Wood Processing"
"070599","Forestry Sciences not elsewhere classified"
"070601","Horticultural Crop Growth and Development"
"070602","Horticultural Crop Improvement (Selection and Breeding)"
"070603","Horticultural Crop Protection (Pests, Diseases and Weeds)"
"070604","Oenology and Viticulture "
"070605","Post Harvest Horticultural Technologies (incl. Transportation and Storage)"
"070699","Horticultural Production not elsewhere classified"
"070701","Veterinary Anaesthesiology and Intensive Care"
"070702","Veterinary Anatomy and Physiology "
"070703","Veterinary Diagnosis and Diagnostics"
"070704","Veterinary Epidemiology"
"070705","Veterinary Immunology"
"070706","Veterinary Medicine"
"070707","Veterinary Microbiology (excl. Virology)"
"070708","Veterinary Parasitology"
"070709","Veterinary Pathology"
"070710","Veterinary Pharmacology"
"070711","Veterinary Surgery"
"070712","Veterinary Virology"
"070799","Veterinary Sciences not elsewhere classified"
"079901","Agricultural Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)"
"079902","Fertilisers and Agrochemicals (incl. Application) "
"079999","Agricultural and Veterinary Sciences not elsewhere classified"
"080101","Adaptive Agents and Intelligent Robotics"
"080102","Artificial Life"
"080103","Computer Graphics"
"080104","Computer Vision"
"080105","Expert Systems "
"080106","Image Processing "
"080107","Natural Language Processing"
"080108","Neural, Evolutionary and Fuzzy Computation"
"080109","Pattern Recognition and Data Mining"
"080110","Simulation and Modelling "
"080111","Virtual Reality and Related Simulation "
"080199","Artificial Intelligence and Image Processing not elsewhere classified"
"080201","Analysis of Algorithms and Complexity"
"080202","Applied Discrete Mathematics "
"080203","Computational Logic and Formal Languages"
"080204","Mathematical Software"
"080205","Numerical Computation"
"080299","Computation Theory and Mathematics not elsewhere classified"
"080301","Bioinformatics Software"
"080302","Computer System Architecture"
"080303","Computer System Security"
"080304","Concurrent Programming"
"080305","Multimedia Programming "
"080306","Open Software"
"080307","Operating Systems"
"080308","Programming Languages"
"080309","Software Engineering "
"080399","Computer Software not elsewhere classified "
"080401","Coding and Information Theory"
"080402","Data Encryption"
"080403","Data Structures"
"080404","Markup Languages"
"080499","Data Format not elsewhere classified "
"080501","Distributed and Grid Systems"
"080502","Mobile Technologies"
"080503","Networking and Communications"
"080504","Ubiquitous Computing"
"080505","Web Technologies (excl. Web Search)"
"080599","Distributed Computing not elsewhere classified"
"080601","Aboriginal and Torres Strait Islander Information and Knowledge Systems"
"080602","Computer-Human Interaction "
"080603","Conceptual Modelling "
"080604","Database Management"
"080605","Decision Support and Group Support Systems "
"080606","Global Information Systems "
"080607","Information Engineering and Theory"
"080608","Information Systems Development Methodologies"
"080609","Information Systems Management "
"080610","Information Systems Organisation "
"080611","Information Systems Theory "
"080612","Interorganisational Information Systems and Web Services"
"080613","Māori Information and Knowledge Systems"
"080614","Pacific Peoples Information and Knowledge Systems"
"080699","Information Systems not elsewhere classified "
"080701","Aboriginal and Torres Strait Islander Knowledge Management"
"080702","Health Informatics"
"080703","Human Information Behaviour"
"080704","Information Retrieval and Web Search"
"080705","Informetrics"
"080706","Librarianship"
"080707","Organisation of Information and Knowledge Resources"
"080708","Records and Information Management (excl. Business Records and Information Management)"
"080709","Social and Community Informatics"
"080799","Library and Information Studies not elsewhere classified"
"089999","Information and Computing Sciences not elsewhere classified"
"090101","Aerodynamics (excl. Hypersonic Aerodynamics) "
"090102","Aerospace Materials"
"090103","Aerospace Structures "
"090104","Aircraft Performance and Flight Control Systems"
"090105","Avionics"
"090106","Flight Dynamics"
"090107","Hypersonic Propulsion and Hypersonic Aerodynamics"
"090108","Satellite, Space Vehicle and Missile Design and Testing"
"090199","Aerospace Engineering not elsewhere classified"
"090201","Automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels)"
"090202","Automotive Engineering Materials "
"090203","Automotive Mechatronics"
"090204","Automotive Safety Engineering"
"090205","Hybrid Vehicles and Powertrains"
"090299","Automotive Engineering not elsewhere classified"
"090301","Biomaterials "
"090302","Biomechanical Engineering"
"090303","Biomedical Instrumentation"
"090304","Medical Devices"
"090305","Rehabilitation Engineering "
"090399","Biomedical Engineering not elsewhere classified"
"090401","Carbon Capture Engineering (excl. Sequestration)"
"090402","Catalytic Process Engineering"
"090403","Chemical Engineering Design"
"090405","Non-automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels)"
"090404","Membrane and Separation Technologies"
"090406","Powder and Particle Technology"
"090407","Process Control and Simulation "
"090408","Rheology"
"090409","Wastewater Treatment Processes"
"090410","Water Treatment Processes"
"090499","Chemical Engineering not elsewhere classified"
"090501","Civil Geotechnical Engineering "
"090502","Construction Engineering "
"090503","Construction Materials"
"090504","Earthquake Engineering"
"090505","Infrastructure Engineering and Asset Management"
"090506","Structural Engineering "
"090507","Transport Engineering"
"090508","Water Quality Engineering"
"090509","Water Resources Engineering "
"090599","Civil Engineering not elsewhere classified "
"090601","Circuits and Systems"
"090602","Control Systems, Robotics and Automation"
"090603","Industrial Electronics"
"090604","Microelectronics and Integrated Circuits"
"090605","Photodetectors, Optical Sensors and Solar Cells"
"090606","Photonics and Electro-Optical Engineering (excl. Communications)"
"090607","Power and Energy Systems Engineering (excl. Renewable Power)"
"090608","Renewable Power and Energy Systems Engineering (excl. Solar Cells)"
"090609","Signal Processing"
"090699","Electrical and Electronic Engineering not elsewhere classified"
"090701","Environmental Engineering Design "
"090702","Environmental Engineering Modelling"
"090703","Environmental Technologies "
"090799","Environmental Engineering not elsewhere classified"
"090801","Food Chemistry and Molecular Gastronomy (excl. Wine)"
"090802","Food Engineering "
"090803","Food Nutritional Balance"
"090804","Food Packaging, Preservation and Safety"
"090805","Food Processing"
"090806","Wine Chemistry and Wine Sensory Science"
"090899","Food Sciences not elsewhere classified"
"090901","Cartography"
"090902","Geodesy"
"090903","Geospatial Information Systems"
"090904","Navigation and Position Fixing "
"090905","Photogrammetry and Remote Sensing"
"090906","Surveying (incl. Hydrographic Surveying)"
"090999","Geomatic Engineering not elsewhere classified"
"091001","CAD/CAM Systems"
"091002","Flexible Manufacturing Systems "
"091003","Machine Tools"
"091004","Machining"
"091005","Manufacturing Management"
"091006","Manufacturing Processes and Technologies (excl. Textiles)"
"091007","Manufacturing Robotics and Mechatronics (excl. Automotive Mechatronics)"
"091008","Manufacturing Safety and Quality "
"091009","Microtechnology"
"091010","Packaging, Storage and Transportation (excl. Food and Agricultural Products)"
"091011","Precision Engineering"
"091012","Textile Technology "
"091099","Manufacturing Engineering not elsewhere classified"
"091101","Marine Engineering "
"091102","Naval Architecture "
"091103","Ocean Engineering"
"091104","Ship and Platform Hydrodynamics"
"091105","Ship and Platform Structures "
"091106","Special Vehicles "
"091199","Maritime Engineering not elsewhere classified"
"091201","Ceramics "
"091202","Composite and Hybrid Materials"
"091203","Compound Semiconductors"
"091204","Elemental Semiconductors"
"091205","Functional Materials"
"091206","Glass"
"091207","Metals and Alloy Materials"
"091208","Organic Semiconductors"
"091209","Polymers and Plastics"
"091210","Timber, Pulp and Paper"
"091299","Materials Engineering not elsewhere classified "
"091301","Acoustics and Noise Control (excl. Architectural Acoustics)"
"091302","Automation and Control Engineering"
"091303","Autonomous Vehicles"
"091304","Dynamics, Vibration and Vibration Control"
"091305","Energy Generation, Conversion and Storage Engineering"
"091306","Microelectromechanical Systems (MEMS)"
"091307","Numerical Modelling and Mechanical Characterisation"
"091308","Solid Mechanics"
"091309","Tribology"
"091399","Mechanical Engineering not elsewhere classified"
"091401","Electrometallurgy"
"091402","Geomechanics and Resources Geotechnical Engineering "
"091403","Hydrometallurgy"
"091404","Mineral Processing/Beneficiation"
"091405","Mining Engineering "
"091406","Petroleum and Reservoir Engineering"
"091407","Pyrometallurgy"
"091499","Resources Engineering and Extractive Metallurgy not elsewhere classified"
"091501","Computational Fluid Dynamics"
"091502","Computational Heat Transfer"
"091503","Engineering Practice"
"091504","Fluidisation and Fluid Mechanics "
"091505","Heat and Mass Transfer Operations"
"091506","Nuclear Engineering (incl. Fuel Enrichment and Waste Processing and Storage)"
"091507","Risk Engineering (excl. Earthquake Engineering)"
"091508","Turbulent Flows"
"091599","Interdisciplinary Engineering not elsewhere classified "
"099901","Agricultural Engineering "
"099902","Engineering Instrumentation "
"099999","Engineering not elsewhere classified"
"100101","Agricultural Biotechnology Diagnostics (incl. Biosensors)"
"100102","Agricultural Marine Biotechnology"
"100103","Agricultural Molecular Engineering of Nucleic Acids and Proteins"
"100104","Genetically Modified Animals"
"100105","Genetically Modified Field Crops and Pasture"
"100106","Genetically Modified Horticulture Plants"
"100107","Genetically Modified Trees"
"100108","Livestock cloning"
"100109","Transgenesis "
"100199","Agricultural Biotechnology not elsewhere classified"
"100201","Biodiscovery"
"100202","Biological Control"
"100203","Bioremediation"
"100204","Environmental Biotechnology Diagnostics (incl. Biosensors)"
"100205","Environmental Marine Biotechnology"
"100206","Environmental Molecular Engineering of Nucleic Acids and Proteins"
"100299","Environmental Biotechnology not elsewhere classified"
"100301","Biocatalysis and Enzyme Technology"
"100302","Bioprocessing, Bioproduction and Bioproducts"
"100303","Fermentation"
"100304","Industrial Biotechnology Diagnostics (incl. Biosensors)"
"100305","Industrial Microbiology (incl. Biofeedstocks)"
"100306","Industrial Molecular Engineering of Nucleic Acids and Proteins"
"100399","Industrial Biotechnology not elsewhere classified"
"100401","Gene and Molecular Therapy "
"100402","Medical Biotechnology Diagnostics (incl. Biosensors)"
"100403","Medical Molecular Engineering of Nucleic Acids and Proteins"
"100404","Regenerative Medicine (incl. Stem Cells and Tissue Engineering)"
"100499","Medical Biotechnology not elsewhere classified"
"100501","Antennas and Propagation"
"100502","Broadband and Modem Technology"
"100503","Computer Communications Networks"
"100504","Data Communications"
"100505","Microwave and Millimetrewave Theory and Technology "
"100506","Optical Fibre Communications "
"100507","Optical Networks and Systems"
"100508","Satellite Communications "
"100509","Video Communications"
"100510","Wireless Communications"
"100599","Communications Technologies not elsewhere classified"
"100601","Arithmetic and Logic Structures"
"100602","Input, Output and Data Devices"
"100603","Logic Design"
"100604","Memory Structures"
"100605","Performance Evaluation; Testing and Simulation of Reliability"
"100606","Processor Architectures"
"100699","Computer Hardware not elsewhere classified"
"100701","Environmental Nanotechnology"
"100702","Molecular and Organic Electronics"
"100703","Nanobiotechnology"
"100704","Nanoelectromechanical Systems"
"100705","Nanoelectronics"
"100706","Nanofabrication, Growth and Self Assembly"
"100707","Nanomanufacturing"
"100708","Nanomaterials"
"100709","Nanomedicine"
"100710","Nanometrology"
"100711","Nanophotonics"
"100712","Nanoscale Characterisation"
"100713","Nanotoxicology, Health and Safety"
"100799","Nanotechnology not elsewhere classified"
"109999","Technology not elsewhere classified"
"110101","Medical Biochemistry: Amino Acids and Metabolites"
"110102","Medical Biochemistry: Carbohydrates"
"110103","Medical Biochemistry: Inorganic Elements and Compounds"
"110104","Medical Biochemistry: Lipids "
"110105","Medical Biochemistry: Nucleic Acids"
"110106","Medical Biochemistry: Proteins and Peptides (incl. Medical Proteomics)"
"110107","Metabolic Medicine"
"110199","Medical Biochemistry and Metabolomics not elsewhere classified"
"110201","Cardiology (incl. Cardiovascular Diseases)"
"110202","Haematology"
"110203","Respiratory Diseases "
"110299","Cardiorespiratory Medicine and Haematology not elsewhere classified"
"110301","Anaesthesiology"
"110302","Clinical Chemistry (diagnostics)"
"110303","Clinical Microbiology"
"110304","Dermatology"
"110305","Emergency Medicine"
"110306","Endocrinology"
"110307","Gastroenterology and Hepatology"
"110308","Geriatrics and Gerontology "
"110309","Infectious Diseases"
"110310","Intensive Care "
"110311","Medical Genetics (excl. Cancer Genetics)"
"110312","Nephrology and Urology "
"110313","Nuclear Medicine"
"110314","Orthopaedics "
"110315","Otorhinolaryngology"
"110316","Pathology (excl. Oral Pathology)"
"110317","Physiotherapy"
"110318","Podiatry"
"110319","Psychiatry (incl. Psychotherapy) "
"110320","Radiology and Organ Imaging"
"110321","Rehabilitation and Therapy (excl. Physiotherapy)"
"110322","Rheumatology and Arthritis "
"110323","Surgery"
"110324","Venereology"
"110399","Clinical Sciences not elsewhere classified"
"110401","Chiropractic "
"110402","Naturopathy"
"110403","Traditional Aboriginal and Torres Strait Islander Medicine and Treatments"
"110404","Traditional Chinese Medicine and Treatments "
"110405","Traditional Māori Medicine and Treatments"
"110499","Complementary and Alternative Medicine not elsewhere classified"
"110501","Dental Materials and Equipment"
"110502","Dental Therapeutics, Pharmacology and Toxicology "
"110503","Endodontics"
"110504","Oral and Maxillofacial Surgery "
"110505","Oral Medicine and Pathology"
"110506","Orthodontics and Dentofacial Orthopaedics"
"110507","Paedodontics"
"110508","Periodontics"
"110509","Special Needs Dentistry"
"110599","Dentistry not elsewhere classified "
"110601","Biomechanics "
"110602","Exercise Physiology"
"110603","Motor Control"
"110604","Sports Medicine"
"110699","Human Movement and Sports Science not elsewhere classified"
"110701","Allergy"
"110702","Applied Immunology (incl. Antibody Engineering, Xenotransplantation and T-cell Therapies)"
"110703","Autoimmunity "
"110704","Cellular Immunology"
"110705","Humoural Immunology and Immunochemistry"
"110706","Immunogenetics (incl. Genetic Immunology)"
"110707","Innate Immunity"
"110708","Transplantation Immunology "
"110709","Tumour Immunology "
"110799","Immunology not elsewhere classified"
"110801","Medical Bacteriology "
"110802","Medical Infection Agents (incl. Prions)"
"110803","Medical Parasitology "
"110804","Medical Virology "
"110899","Medical Microbiology not elsewhere classified"
"110901","Autonomic Nervous System "
"110902","Cellular Nervous System"
"110903","Central Nervous System "
"110904","Neurology and Neuromuscular Diseases"
"110905","Peripheral Nervous System"
"110906","Sensory Systems"
"110999","Neurosciences not elsewhere classified"
"111001","Aged Care Nursing"
"111002","Clinical Nursing: Primary (Preventative) "
"111003","Clinical Nursing: Secondary (Acute Care)"
"111004","Clinical Nursing: Tertiary (Rehabilitative)"
"111005","Mental Health Nursing"
"111006","Midwifery"
"111099","Nursing not elsewhere classified "
"111101","Clinical and Sports Nutrition"
"111102","Dietetics and Nutrigenomics"
"111103","Nutritional Physiology"
"111104","Public Nutrition Intervention"
"111199","Nutrition and Dietetics not elsewhere classified"
"111201","Cancer Cell Biology"
"111202","Cancer Diagnosis"
"111203","Cancer Genetics"
"111204","Cancer Therapy (excl. Chemotherapy and Radiation Therapy)"
"111205","Chemotherapy"
"111206","Haematological Tumours"
"111207","Molecular Targets"
"111208","Radiation Therapy"
"111209","Solid Tumours"
"111299","Oncology and Carcinogenesis not elsewhere classified"
"111301","Ophthalmology"
"111302","Optical Technology "
"111303","Vision Science"
"111399","Ophthalmology and Optometry not elsewhere classified"
"111401","Foetal Development and Medicine"
"111402","Obstetrics and Gynaecology "
"111403","Paediatrics"
"111404","Reproduction "
"111499","Paediatrics and Reproductive Medicine not elsewhere classified"
"111501","Basic Pharmacology "
"111502","Clinical Pharmacology and Therapeutics"
"111503","Clinical Pharmacy and Pharmacy Practice"
"111504","Pharmaceutical Sciences"
"111505","Pharmacogenomics"
"111506","Toxicology (incl. Clinical Toxicology) "
